,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ponta do Sol,20,PT,1580537643,51,32.67,-17.1,66.0,2.24
1,Paithan,20,IN,1580537938,49,19.48,75.38,73.4,5.82
2,Katsuura,20,JP,1580537635,34,35.13,140.3,55.99,6.93
3,Qaanaaq,100,GL,1580537608,99,77.48,-69.36,-23.48,0.89
4,Esperance,75,AU,1580537199,38,-33.87,121.9,73.4,14.99
5,Acapulco de Juarez,20,MX,1580537921,83,16.86,-99.89,75.2,2.24
6,Faanui,100,PF,1580537599,81,-16.48,-151.75,80.19,27.09
7,Coquimbo,90,CL,1580537662,88,-29.95,-71.34,62.6,8.05
8,Saint-Philippe,34,RE,1580537609,65,-21.36,55.77,84.2,29.97
9,Arrondissement de Mont-de-Marsan,90,FR,1580537947,93,44.0,-0.67,62.01,8.05
10,Cape Town,79,ZA,1580537608,88,-33.93,18.42,71.01,13.87
11,Ushuaia,75,AR,1580537568,66,-54.8,-68.3,53.6,16.11
12,Hermanus,97,ZA,1580537528,86,-34.42,19.23,69.01,7.0
13,Port Elizabeth,40,ZA,1580537746,83,-33.92,25.57,73.4,5.82
14,Maryborough,53,AU,1580537952,56,-25.53,152.7,86.04,9.6
15,Los Llanos de Aridane,0,ES,1580537953,42,28.66,-17.92,66.99,1.12
16,Busselton,0,AU,1580537955,20,-33.65,115.33,80.01,14.27
17,Port Hardy,90,CA,1580537956,87,50.7,-127.42,48.2,19.46
18,Abatskiy,98,RU,1580537957,83,56.29,70.46,6.94,10.42
19,Hasaki,20,JP,1580537958,34,35.73,140.83,57.0,12.75
20,Tuktoyaktuk,20,CA,1580537959,73,69.45,-133.04,-31.0,10.29
21,George Town,20,MY,1580537711,74,5.41,100.34,93.2,8.05
22,Albany,90,US,1580537777,74,42.6,-73.97,35.01,6.93
23,Yumen,38,CN,1580537962,29,40.28,97.2,31.26,20.09
24,Port Alfred,100,ZA,1580537963,88,-33.59,26.89,72.0,1.99
25,Mulege,67,MX,1580537964,40,26.88,-111.98,62.78,7.18
26,Karratha,0,AU,1580537966,70,-20.74,116.85,82.17,20.67
27,Pangnirtung,20,CA,1580537967,69,66.15,-65.71,-13.0,3.36
28,Oparino,94,RU,1580537968,97,59.85,48.28,2.12,3.83
29,Jamestown,40,US,1580537969,92,42.1,-79.24,32.0,3.36
30,Ulundi,54,ZA,1580537970,73,-28.34,31.42,74.03,5.84
31,San Quintin,0,MX,1580537971,57,30.48,-115.95,59.76,3.49
32,Amli,0,IN,1580537972,26,20.28,73.02,83.55,6.46
33,Gamba,100,GA,1580537973,92,-2.65,10.0,76.6,4.16
34,Santa Cruz de la Palma,0,ES,1580537974,42,28.68,-17.76,66.99,1.12
35,Fairfield,90,US,1580537906,97,41.27,-73.32,37.99,3.36
36,Abu Samrah,64,SY,1580537977,71,35.3,37.18,44.44,13.85
37,Petropavlovsk-Kamchatsky,0,RU,1580537978,40,53.05,158.65,15.8,2.24
38,Lebu,14,CL,1580537979,98,-37.62,-73.65,57.42,4.59
39,Pangkalanbuun,73,ID,1580537980,45,-2.68,111.62,95.18,2.15
40,Ouadda,2,CF,1580537981,22,8.08,22.4,65.84,4.38
41,Valreas,90,FR,1580537982,100,44.38,4.99,48.2,2.24
42,Arman,0,RU,1580537983,85,59.7,150.17,-0.49,6.22
43,Laguna,1,US,1580537984,87,38.42,-121.42,53.01,3.24
44,Kavieng,84,PG,1580537985,75,-2.57,150.8,84.83,14.63
45,Bethel,90,US,1580537987,97,41.37,-73.41,37.0,3.36
46,Punta Arenas,75,CL,1580537988,71,-53.15,-70.92,51.8,11.41
47,Bandarbeyla,87,SO,1580537989,66,9.49,50.81,76.98,16.55
48,Kongolo,99,CD,1580537990,92,-5.38,27.0,71.78,1.01
49,Mahebourg,40,MU,1580537991,70,-20.41,57.7,84.2,14.99
50,Kaitangata,100,NZ,1580537992,56,-46.28,169.85,67.37,25.77
51,Saskylakh,100,RU,1580537993,96,71.92,114.08,-27.78,8.5
52,Hofn,63,IS,1580537994,61,64.25,-15.21,35.37,12.24
53,Kruisfontein,66,ZA,1580537995,72,-34.0,24.73,69.22,2.35
54,Whitehorse,90,CA,1580537996,85,60.72,-135.05,12.2,5.82
55,Thompson,90,CA,1580537998,100,55.74,-97.86,28.4,10.29
